[?1034hType                                  Module                 Label             Process   
vector<double>                        "jhuCa8pp"             "PrunedCA8JECcorr"   "jhu"     
vector<double>                        "jhuCa8pp"             "PrunedCA8JECetaScale"   "jhu"     
vector<double>                        "jhuCa8pp"             "PrunedCA8JECphiScale"   "jhu"     
vector<double>                        "jhuCa8pp"             "PrunedCA8JECptSmear"   "jhu"     
vector<double>                        "jhuCa8pp"             "PrunedCA8csv"    "jhu"     
vector<double>                        "jhuCa8pp"             "PrunedCA8sub0csv"   "jhu"     
vector<double>                        "jhuCa8pp"             "PrunedCA8sub1csv"   "jhu"     
vector<double>                        "jhuCa8pp"             "PrunedCA8sub2csv"   "jhu"     
vector<double>                        "jhuCa8pp"             "PrunedCA8sub3csv"   "jhu"     
vector<double>                        "jhuCa8tt"             "TopTaggedCA8JEC"   "jhu"     
vector<double>                        "jhuCa8tt"             "TopTaggedCA8JECUncNeg"   "jhu"     
vector<double>                        "jhuCa8tt"             "TopTaggedCA8JECUncPos"   "jhu"     
vector<double>                        "jhuCa8tt"             "TopTaggedCA8JECcorr"   "jhu"     
vector<double>                        "jhuCa8tt"             "TopTaggedCA8JECetaScale"   "jhu"     
vector<double>                        "jhuCa8tt"             "TopTaggedCA8JECphiScale"   "jhu"     
vector<double>                        "jhuCa8tt"             "TopTaggedCA8JECptSmear"   "jhu"     
vector<double>                        "jhuCa8tt"             "TopTaggedCA8csv"   "jhu"     
vector<double>                        "jhuCa8tt"             "TopTaggedCA8sub0csv"   "jhu"     
vector<double>                        "jhuCa8tt"             "TopTaggedCA8sub1csv"   "jhu"     
vector<double>                        "jhuCa8tt"             "TopTaggedCA8sub2csv"   "jhu"     
vector<double>                        "jhuCa8tt"             "TopTaggedCA8sub3csv"   "jhu"     
vector<double>                        "jhuCa8tt"             "TopTaggedCA8topTagMinMass"   "jhu"     
vector<double>                        "jhuCa8tt"             "TopTaggedCA8topTagTopMass"   "jhu"     
vector<double>                        "jhuCa8"               "UnprunedCA8JEC"   "jhu"     
vector<double>                        "jhuCa8"               "UnprunedCA8JECUncNeg"   "jhu"     
vector<double>                        "jhuCa8"               "UnprunedCA8JECUncPos"   "jhu"     
vector<double>                        "jhuCa8"               "UnprunedCA8JECcorr"   "jhu"     
vector<double>                        "jhuCa8"               "UnprunedCA8JECetaScale"   "jhu"     
vector<double>                        "jhuCa8"               "UnprunedCA8JECphiScale"   "jhu"     
vector<double>                        "jhuCa8"               "UnprunedCA8JECptSmear"   "jhu"     
vector<double>                        "jhuCa8"               "UnprunedCA8csv"   "jhu"     
vector<double>                        "jhuCa8"               "UnprunedCA8tau1"   "jhu"     
vector<double>                        "jhuCa8"               "UnprunedCA8tau2"   "jhu"     
vector<double>                        "jhuCa8"               "UnprunedCA8tau3"   "jhu"     
vector<double>                        "jhuCa8"               "UnprunedCA8tau4"   "jhu"     
vector<double>                        "pdfWeights"           "cteq66"          "jhu"     
vector<double>                        "jhuElePFlowLoose"     "electronLooseiso"   "jhu"     
vector<double>                        "jhuElePFlow"          "electroniso"     "jhu"     
vector<double>                        "jhuMuonPFlowLoose"    "muonLooseiso"    "jhu"     
vector<double>                        "jhuMuonPFlow"         "muoniso"         "jhu"     
